S:\self driving car\Simulation\IMG\center_2021_10_24_10_45_20_305.jpg,S:\self driving car\Simulation\IMG\left_2021_10_24_10_45_20_305.jpg,S:\self driving car\Simulation\IMG\right_2021_10_24_10_45_20_305.jpg,0,0,0,5.023581E-06
S:\self driving car\Simulation\IMG\center_2021_10_24_10_45_20_375.jpg,S:\self driving car\Simulation\IMG\left_2021_10_24_10_45_20_375.jpg,S:\self driving car\Simulation\IMG\right_2021_10_24_10_45_20_375.jpg,0,0,0,1.817124E-05
S:\self driving car\Simulation\IMG\center_2021_10_24_10_45_20_445.jpg,S:\self driving car\Simulation\IMG\left_2021_10_24_10_45_20_445.jpg,S:\self driving car\Simulation\IMG\right_2021_10_24_10_45_20_445.jpg,0,0,0,1.019307E-06
S:\self driving car\Simulation\IMG\center_2021_10_24_10_45_20_513.jpg,S:\self driving car\Simulation\IMG\left_2021_10_24_10_45_20_513.jpg,S:\self driving car\Simulation\IMG\right_2021_10_24_10_45_20_513.jpg,0,0,0,3.05526E-06
S:\self driving car\Simulation\IMG\center_2021_10_24_10_45_20_581.jpg,S:\self driving car\Simulation\IMG\left_2021_10_24_10_45_20_581.jpg,S:\self driving car\Simulation\IMG\right_2021_10_24_10_45_20_581.jpg,0,0,0,4.513497E-06
S:\self driving car\Simulation\IMG\center_2021_10_24_10_45_20_650.jpg,S:\self driving car\Simulation\IMG\left_2021_10_24_10_45_20_650.jpg,S:\self driving car\Simulation\IMG\right_2021_10_24_10_45_20_650.jpg,0,0,0,5.905565E-07
S:\self driving car\Simulation\IMG\center_2021_10_24_10_45_20_719.jpg,S:\self driving car\Simulation\IMG\left_2021_10_24_10_45_20_719.jpg,S:\self driving car\Simulation\IMG\right_2021_10_24_10_45_20_719.jpg,0,0,0,1.514696E-06
S:\self driving car\Simulation\IMG\center_2021_10_24_10_45_20_789.jpg,S:\self driving car\Simulation\IMG\left_2021_10_24_10_45_20_789.jpg,S:\self driving car\Simulation\IMG\right_2021_10_24_10_45_20_789.jpg,0,0,0,6.347743E-06
S:\self driving car\Simulation\IMG\center_2021_10_24_10_45_20_856.jpg,S:\self driving car\Simulation\IMG\left_2021_10_24_10_45_20_856.jpg,S:\self driving car\Simulation\IMG\right_2021_10_24_10_45_20_856.jpg,0,0.1131672,0,0.02927036
S:\self driving car\Simulation\IMG\center_2021_10_24_10_45_20_929.jpg,S:\self driving car\Simulation\IMG\left_2021_10_24_10_45_20_929.jpg,S:\self driving car\Simulation\IMG\right_2021_10_24_10_45_20_929.jpg,0,0.3513858,0,0.2501363
S:\self driving car\Simulation\IMG\center_2021_10_24_10_45_21_000.jpg,S:\self driving car\Simulation\IMG\left_2021_10_24_10_45_21_000.jpg,S:\self driving car\Simulation\IMG\right_2021_10_24_10_45_21_000.jpg,-0.1,0.5172761,0,0.5858777
S:\self driving car\Simulation\IMG\center_2021_10_24_10_45_21_071.jpg,S:\self driving car\Simulation\IMG\left_2021_10_24_10_45_21_071.jpg,S:\self driving car\Simulation\IMG\right_2021_10_24_10_45_21_071.jpg,-0.3,0.7748543,0,1.221493
S:\self driving car\Simulation\IMG\center_2021_10_24_10_45_21_140.jpg,S:\self driving car\Simulation\IMG\left_2021_10_24_10_45_21_140.jpg,S:\self driving car\Simulation\IMG\right_2021_10_24_10_45_21_140.jpg,-0.45,0.9373184,0,1.869866
S:\self driving car\Simulation\IMG\center_2021_10_24_10_45_21_211.jpg,S:\self driving car\Simulation\IMG\left_2021_10_24_10_45_21_211.jpg,S:\self driving car\Simulation\IMG\right_2021_10_24_10_45_21_211.jpg,0,1,0,2.783618
S:\self driving car\Simulation\IMG\center_2021_10_24_10_45_21_281.jpg,S:\self driving car\Simulation\IMG\left_2021_10_24_10_45_21_281.jpg,S:\self driving car\Simulation\IMG\right_2021_10_24_10_45_21_281.jpg,0,1,0,3.489136
S:\self driving car\Simulation\IMG\center_2021_10_24_10_45_21_351.jpg,S:\self driving car\Simulation\IMG\left_2021_10_24_10_45_21_351.jpg,S:\self driving car\Simulation\IMG\right_2021_10_24_10_45_21_351.jpg,-0.05,1,0,4.428861
S:\self driving car\Simulation\IMG\center_2021_10_24_10_45_21_420.jpg,S:\self driving car\Simulation\IMG\left_2021_10_24_10_45_21_420.jpg,S:\self driving car\Simulation\IMG\right_2021_10_24_10_45_21_420.jpg,-0.2,1,0,5.121059
S:\self driving car\Simulation\IMG\center_2021_10_24_10_45_21_491.jpg,S:\self driving car\Simulation\IMG\left_2021_10_24_10_45_21_491.jpg,S:\self driving car\Simulation\IMG\right_2021_10_24_10_45_21_491.jpg,-0.4,1,0,6.02382
S:\self driving car\Simulation\IMG\center_2021_10_24_10_45_21_563.jpg,S:\self driving car\Simulation\IMG\left_2021_10_24_10_45_21_563.jpg,S:\self driving car\Simulation\IMG\right_2021_10_24_10_45_21_563.jpg,-0.5500001,1,0,6.683432
